2026-02-13 19:25:10,048 | INFO | App start / rerun
2026-02-13 19:25:13,126 | INFO | App start / rerun
2026-02-13 19:25:23,801 | INFO | App start / rerun
2026-02-13 19:25:23,876 | INFO | User message received (7 chars)
2026-02-13 19:25:26,999 | INFO | Turn complete; rerunning
2026-02-13 19:25:27,062 | INFO | App start / rerun
2026-02-13 19:30:45,473 | INFO | App start / rerun
2026-02-13 19:30:51,321 | INFO | App start / rerun
2026-02-13 19:31:06,717 | INFO | App start / rerun
2026-02-13 19:31:06,787 | INFO | User message received (34 chars)
2026-02-13 19:31:11,158 | INFO | Turn complete; rerunning
2026-02-13 19:31:11,216 | INFO | App start / rerun
2026-02-13 19:39:49,855 | INFO | App start / rerun
2026-02-13 19:39:53,851 | INFO | App start / rerun
2026-02-13 19:47:43,948 | INFO | App start / rerun
2026-02-13 19:47:48,475 | INFO | App start / rerun
2026-02-13 19:53:59,700 | INFO | App start / rerun
2026-02-13 19:54:04,053 | INFO | App start / rerun
2026-02-13 19:55:16,383 | INFO | App start / rerun
2026-02-13 19:55:16,426 | INFO | Auto-vitals tick applied.
2026-02-13 19:55:16,427 | INFO | Idle avatar swapped to index 1
2026-02-13 19:55:16,526 | INFO | User message received (41 chars)
2026-02-13 19:55:24,270 | INFO | Turn complete; rerunning
2026-02-13 19:55:24,351 | INFO | App start / rerun
2026-02-13 19:55:24,550 | INFO | App start / rerun
2026-02-13 19:55:52,368 | INFO | App start / rerun
2026-02-13 19:55:52,394 | INFO | Auto-vitals tick applied.
2026-02-13 19:55:52,485 | INFO | User message received (58 chars)
2026-02-13 19:55:57,733 | INFO | Turn complete; rerunning
2026-02-13 19:55:57,816 | INFO | App start / rerun
2026-02-13 19:55:58,040 | INFO | App start / rerun
2026-02-13 19:55:58,063 | INFO | Idle avatar swapped to index 0
2026-02-13 19:56:34,097 | INFO | App start / rerun
2026-02-13 19:56:34,120 | INFO | Auto-vitals tick applied.
2026-02-13 19:56:34,121 | INFO | Idle avatar swapped to index 1
2026-02-13 19:56:34,210 | INFO | User message received (15 chars)
2026-02-13 19:56:36,781 | INFO | Turn complete; rerunning
2026-02-13 19:56:36,858 | INFO | App start / rerun
2026-02-13 19:58:56,107 | INFO | App start / rerun
2026-02-13 19:58:56,134 | INFO | Auto-vitals tick applied.
2026-02-13 19:58:56,135 | INFO | Idle avatar swapped to index 0
2026-02-13 19:58:56,198 | INFO | User message received (169 chars)
2026-02-13 19:59:02,128 | INFO | Turn complete; rerunning
2026-02-13 19:59:02,207 | INFO | App start / rerun
2026-02-13 19:59:02,397 | INFO | App start / rerun
2026-02-13 19:59:13,650 | INFO | App start / rerun
2026-02-13 19:59:13,788 | INFO | App start / rerun
2026-02-13 19:59:14,035 | INFO | App start / rerun
2026-02-13 19:59:21,674 | INFO | App start / rerun
2026-02-13 19:59:21,705 | INFO | Auto-vitals tick applied.
2026-02-13 19:59:22,722 | INFO | App start / rerun
2026-02-13 19:59:22,883 | INFO | App start / rerun
2026-02-13 19:59:25,622 | INFO | App start / rerun
2026-02-13 19:59:25,760 | INFO | App start / rerun
2026-02-13 19:59:28,815 | INFO | App start / rerun
2026-02-13 19:59:28,953 | INFO | App start / rerun
2026-02-13 20:11:43,356 | INFO | App start / rerun
2026-02-13 20:11:49,487 | INFO | App start / rerun
2026-02-13 20:12:06,061 | INFO | App start / rerun
2026-02-13 20:12:06,182 | INFO | App start / rerun
2026-02-13 20:12:13,271 | INFO | App start / rerun
2026-02-13 20:12:13,361 | INFO | User message received (22 chars)
2026-02-13 20:12:17,471 | INFO | TTS speak() called.
2026-02-13 20:12:17,471 | INFO | output.mp3 present (bytes=84096).
2026-02-13 20:12:17,509 | INFO | Turn complete; rerunning
2026-02-13 20:12:17,611 | INFO | App start / rerun
2026-02-13 20:13:04,866 | INFO | App start / rerun
2026-02-13 20:13:04,894 | INFO | Vitals tick applied (dt=75.4s).
2026-02-13 20:13:04,895 | INFO | Idle avatar swapped to index 1
2026-02-13 20:13:04,985 | INFO | User message received (208 chars)
2026-02-13 20:13:10,102 | INFO | TTS speak() called.
2026-02-13 20:13:10,103 | INFO | output.mp3 present (bytes=241920).
2026-02-13 20:13:10,131 | INFO | Turn complete; rerunning
2026-02-13 20:13:10,210 | INFO | App start / rerun
